fid,tree_id,aspect,quadrat_notes,quadrat_id
87,LAN3_TS,qn,,LAN3_TS_QN
88,LAN3_TS,qe,,LAN3_TS_QE
89,LAN3_TS,qs,,LAN3_TS_QS
90,LAN3_TS,qw,Likely pulmonaria in II,LAN3_TS_QW
91,LAN3_TW,qn,,LAN3_TW_QN
92,LAN3_TW,qe,,LAN3_TW_QE
93,LAN3_TW,qs,,LAN3_TW_QS
94,LAN3_TW,qw,,LAN3_TW_QW
95,RR1_TN,qe,,RR1_TN_QE
96,RR1_TN,qs,Downward facing side,RR1_TN_QS
97,RR1_TN,qw,Upward side,RR1_TN_QW
98,RR1_TN,qn,Cell 4 might damn well have the only lichen in this entire tree,RR1_TN_QN
99,RR1_TW,qn,Downward side,RR1_TW_QN
100,RR1_TW,qe,,RR1_TW_QE
101,RR1_TW,qs,Upward side,RR1_TW_QS
102,RR1_TW,qw,,RR1_TW_QW
103,RR1_TE,qn,,RR1_TE_QN
104,RR1_TE,qw,,RR1_TE_QW
105,RR1_TE,qs,,RR1_TE_QS
106,RR1_TE,qe,,RR1_TE_QE
107,BG1_TN,qn,,BG1_TN_QN
108,BG1_TN,qe,,BG1_TN_QE
109,BG1_TN,qs,,BG1_TN_QS
110,BG1_TN,qw,,BG1_TN_QW
111,BG1_TE,qn,,BG1_TE_QN
112,BG1_TE,qe,,BG1_TE_QE
113,BG1_TE,qs,,BG1_TE_QS
114,BG1_TE,qw,,BG1_TE_QW
115,BG1_TS,qn,Downward angled side. Side the oak did not land on,BG1_TS_QN
116,BG1_TS,qe,,BG1_TS_QE
117,BG1_TS,qs,Upward facing side. Side oak hit when fell ,BG1_TS_QS
118,BG1_TS,qw,,BG1_TS_QW
119,BG1_TW,qn,,BG1_TW_QN
120,BG1_TW,qe,,BG1_TW_QE
121,BG1_TW,qs,,BG1_TW_QS
122,BG1_TW,qw,,BG1_TW_QW
123,BG2_TN,qn,,BG2_TN_QN
124,BG2_TN,qe,,BG2_TN_QE
125,BG2_TN,qs,,BG2_TN_QS
126,BG2_TN,qw,,BG2_TN_QW
127,BG2_TE,qn,,BG2_TE_QN
128,BG2_TE,qe,".",BG2_TE_QE
129,BG2_TE,qs,,BG2_TE_QS
130,BG2_TE,qw,,BG2_TE_QW
131,BG2_TS,qn,,BG2_TS_QN
132,BG2_TS,qe,,BG2_TS_QE
133,BG2_TS,qs,,BG2_TS_QS
134,BG2_TS,qw,,BG2_TS_QW
135,BG2_TW,qn,,BG2_TW_QN
136,BG2_TW,qe,,BG2_TW_QE
137,BG2_TW,qs,,BG2_TW_QS
138,BG2_TW,qw,,BG2_TW_QW
139,BG3_TN,qn,,BG3_TN_QN
140,BG3_TN,qe,,BG3_TN_QE
141,BG3_TN,qs,,BG3_TN_QS
142,BG3_TN,qw,,BG3_TN_QW
143,BG3_TW,qn,,BG3_TW_QN
144,BG3_TW,qe,,BG3_TW_QE
145,BG3_TW,qs,,BG3_TW_QS
146,BG3_TW,qw,,BG3_TW_QW
147,BG3_TE,qn,,BG3_TE_QN
148,BG3_TE,qe,,BG3_TE_QE
149,BG3_TE,qs,,BG3_TE_QS
150,BG3_TE,qw,,BG3_TE_QW
151,BG3_TS,qn,,BG3_TS_QN
152,BG3_TS,qe,,BG3_TS_QE
153,BG3_TS,qs,,BG3_TS_QS
154,BG3_TS,qw,,BG3_TS_QW
155,RA2_TE,qe,Basically inaccessible due to hillside. Photo taken through monocular.,RA2_TE_QE
156,RA3_TS,qn,Likely little speck of blue felt lichen in cell 5.,RA3_TS_QN
157,LAE2_TW,qw,I forgot to put W II. I took the photos I just didn't label the distinction.,LAE2_TW_QW
158,LAE5_TE,qn,Circled S,LAE5_TE_QN
159,LAE5_TE,qs,Circled N,LAE5_TE_QS
161,ARI6_TE,qs,I accidently labeled this one as TS_QS but it's TE_QS,ARI6_TE_QS
162,INN2_TW,qn,No lichens just moss,INN2_TW_QN
163,INN2_TW,qe,,INN2_TW_QE
164,INN2_TW,qs,,INN2_TW_QS
165,INN2_TW,qw,,INN2_TW_QW
166,INN2_TS,qw,,INN2_TS_QW
167,INN2_TS,qn,,INN2_TS_QN
168,INN2_TS,qe,,INN2_TS_QE
169,INN2_TS,qs,Photos are low quality ,INN2_TS_QS
170,INN2_TN,qe,,INN2_TN_QE
171,INN2_TN,qs,,INN2_TN_QS
172,INN2_TN,qw,,INN2_TN_QW
173,INN2_TN,qn,,INN2_TN_QN
174,INN2_TE,qw,,INN2_TE_QW
175,INN2_TE,qn,,INN2_TE_QN
176,INN2_TE,qe,,INN2_TE_QE
177,INN2_TE,qs,,INN2_TE_QS
178,ARI1_TE,qn,,ARI1_TE_QN
179,ARI1_TE,qe,,ARI1_TE_QE
180,ARI1_TE,qs,,ARI1_TE_QS
181,ARI1_TE,qw,,ARI1_TE_QW
182,ARI1_TS,qn,,ARI1_TS_QN
183,ARI1_TS,qe,,ARI1_TS_QE
184,ARI1_TS,qs,,ARI1_TS_QS
185,ARI1_TS,qw,,ARI1_TS_QW
186,ARI1_TW,qe,,ARI1_TW_QE
187,ARI1_TW,qs,,ARI1_TW_QS
188,ARI1_TW,qw,,ARI1_TW_QW
189,ARI1_TW,qn,,ARI1_TW_QN
190,ARI1_TN,qs,,ARI1_TN_QS
191,ARI1_TN,qw,,ARI1_TN_QW
192,ARI1_TN,qn,,ARI1_TN_QN
193,ARI1_TN,qe,,ARI1_TN_QE
194,AGG3_TE,qw,,AGG3_TE_QW
195,AGG3_TE,qn,,AGG3_TE_QN
196,AGG3_TE,qe,,AGG3_TE_QE
197,AGG3_TE,qs,,AGG3_TE_QS
198,AGG3_TN,qn,,AGG3_TN_QN
199,AGG3_TN,qe,,AGG3_TN_QE
200,AGG3_TN,qs,,AGG3_TN_QS
201,AGG3_TN,qw,,AGG3_TN_QW
202,AGG3_TS,qs,,AGG3_TS_QS
203,AGG3_TS,qn,,AGG3_TS_QN
204,AGG3_TS,qw,,AGG3_TS_QW
205,AGG3_TS,qe,,AGG3_TS_QE
206,AGG3_TW,qs,,AGG3_TW_QS
207,AGG3_TW,qw,,AGG3_TW_QW
208,AGG3_TW,qn,,AGG3_TW_QN
209,AGG3_TW,qe,,AGG3_TW_QE
210,LAE5_TE,qw,,LAE5_TE_QW
211,LAE5_TE,qe,,LAE5_TE_QE
212,LAE5_TN,qs,,LAE5_TN_QS
213,LAE5_TN,qe,,LAE5_TN_QE
214,LAE5_TN,qw,,LAE5_TN_QW
215,LAE5_TN,qn,,LAE5_TN_QN
216,LAE5_TS,qe,,LAE5_TS_QE
217,LAE5_TS,qs,,LAE5_TS_QS
218,LAE5_TS,qw,,LAE5_TS_QW
219,LAE5_TS,qn,,LAE5_TS_QN
220,LAE5_TW,qe,"*** Basically all of the photos in this quadrat are out of focus and blurry. If spare time allows, return to this tree and retake these photos.",LAE5_TW_QE
221,LAE5_TW,qs,Mostly moss.,LAE5_TW_QS
222,LAE5_TW,qn,,LAE5_TW_QN
223,LAE5_TW,qw,,LAE5_TW_QW
224,AGG5_TE,qe,,AGG5_TE_QE
225,AGG5_TE,qn,,AGG5_TE_QN
226,AGG5_TE,qs,,AGG5_TE_QS
227,AGG5_TE,qw,,AGG5_TE_QW
228,AGG5_TN,qn,,AGG5_TN_QN
229,AGG5_TN,qs,,AGG5_TN_QS
230,AGG5_TN,qe,,AGG5_TN_QE
231,AGG5_TN,qw,,AGG5_TN_QW
232,AGG5_TS,qs,,AGG5_TS_QS
233,AGG5_TS,qw,,AGG5_TS_QW
234,AGG5_TS,qn,,AGG5_TS_QN
235,AGG5_TS,qe,,AGG5_TS_QE
236,AGG5_TW,qe,,AGG5_TW_QE
237,AGG5_TW,qs,,AGG5_TW_QS
238,AGG5_TW,qw,,AGG5_TW_QW
239,AGG5_TW,qn,,AGG5_TW_QN
240,ARI6_TW,qe,,ARI6_TW_QE
241,ARI6_TW,qs,,ARI6_TW_QS
242,ARI6_TW,qw,,ARI6_TW_QW
243,ARI6_TW,qn,,ARI6_TW_QN
244,ARI6_TN,qs,,ARI6_TN_QS
245,ARI6_TN,qw,,ARI6_TN_QW
246,ARI6_TN,qn,,ARI6_TN_QN
247,ARI6_TN,qe,,ARI6_TN_QE
248,ARI6_TS,qn,,ARI6_TS_QN
249,ARI6_TS,qe,,ARI6_TS_QE
250,ARI6_TS,qw,,ARI6_TS_QW
251,ARI6_TS,qs,,ARI6_TS_QS
252,ARI6_TE,qw,,ARI6_TE_QW
253,ARI6_TE,qn,,ARI6_TE_QN
254,ARI6_TE,qe,,ARI6_TE_QE
255,ARI8_TE,qn,,ARI8_TE_QN
256,ARI8_TE,qe,,ARI8_TE_QE
257,ARI8_TE,qs,,ARI8_TE_QS
258,ARI8_TE,qw,,ARI8_TE_QW
259,ARI8_TN,qs,,ARI8_TN_QS
260,ARI8_TN,qe,,ARI8_TN_QE
261,ARI8_TN,qn,,ARI8_TN_QN
262,ARI8_TN,qw,,ARI8_TN_QW
263,ARI8_TS,qn,,ARI8_TS_QN
264,ARI8_TS,qw,,ARI8_TS_QW
265,ARI8_TS,qs,,ARI8_TS_QS
266,ARI8_TS,qe,,ARI8_TS_QE
267,ARI8_TW,qe,,ARI8_TW_QE
268,ARI8_TW,qn,,ARI8_TW_QN
269,ARI8_TW,qw,,ARI8_TW_QW
270,ARI8_TW,qs,,ARI8_TW_QS
271,RR1_TS,qn,,RR1_TS_QN
272,RR1_TS,qe,,RR1_TS_QE
273,RR1_TS,qs,,RR1_TS_QS
274,RR1_TS,qw,,RR1_TS_QW
275,AGG4_TE,qs,,AGG4_TE_QS
276,AGG4_TE,qe,,AGG4_TE_QE
277,AGG4_TE,qn,,AGG4_TE_QN
278,AGG4_TE,qw,,AGG4_TE_QW
279,AGG4_TN,qs,,AGG4_TN_QS
280,AGG4_TN,qw,,AGG4_TN_QW
281,AGG4_TN,qn,,AGG4_TN_QN
282,AGG4_TN,qe,,AGG4_TN_QE
283,AGG4_TS,qn,,AGG4_TS_QN
284,AGG4_TS,qe,,AGG4_TS_QE
285,AGG4_TS,qs,,AGG4_TS_QS
286,AGG4_TS,qw,,AGG4_TS_QW
287,RA1_TE,qw,,RA1_TE_QW
288,RA1_TE,qn,,RA1_TE_QN
289,RA1_TE,qe,,RA1_TE_QE
290,RA1_TE,qs,,RA1_TE_QS
291,RA1_TN,qs,,RA1_TN_QS
292,RA1_TN,qe,,RA1_TN_QE
293,RA1_TN,qw,,RA1_TN_QW
294,RA1_TN,qn,,RA1_TN_QN
295,RA1_TS,qw,,RA1_TS_QW
296,RA1_TS,qs,,RA1_TS_QS
297,RA1_TS,qe,,RA1_TS_QE
298,RA1_TS,qn,,RA1_TS_QN
299,RA1_TW,qn,,RA1_TW_QN
300,RA1_TW,qe,,RA1_TW_QE
301,RA1_TW,qs,,RA1_TW_QS
302,RA1_TW,qw,,RA1_TW_QW
303,AGG4_TW,qs,,AGG4_TW_QS
304,AGG4_TW,qe,,AGG4_TW_QE
305,AGG4_TW,qn,,AGG4_TW_QN
306,AGG4_TW,qw,,AGG4_TW_QW
307,LAE2_TE,qs,,LAE2_TE_QS
308,LAE2_TE,qe,,LAE2_TE_QE
309,LAE2_TE,qn,,LAE2_TE_QN
310,LAE2_TE,qw,,LAE2_TE_QW
311,LAE2_TN,qe,,LAE2_TN_QE
312,LAE2_TN,qw,,LAE2_TN_QW
313,LAE2_TN,qs,,LAE2_TN_QS
314,LAE2_TN,qn,,LAE2_TN_QN
315,LAE2_TS,qn,,LAE2_TS_QN
316,LAE2_TS,qw,,LAE2_TS_QW
317,LAE2_TS,qe,,LAE2_TS_QE
318,LAE2_TS,qs,,LAE2_TS_QS
319,LAE2_TW,qe,,LAE2_TW_QE
320,LAE2_TW,qs,,LAE2_TW_QS
321,LAE2_TW,qn,,LAE2_TW_QN
